sortid,genelist,drdist,FC,pValues,pAdjusted
2378,PKD2L2,1.16675748120956e-18,0.000110849609501179,0.991599616335084,0.999999999923338
393,BEAN1,1.1658813327526e-18,0.000110766369654097,0.991602770843917,0.999999999923338
2855,SDR39U1,1.16386382069e-18,0.000110574692782163,0.991610039260169,0.999999999923338
1295,GLOD4,1.15522379329362e-18,0.00010975383353901,0.9916412378686,0.999999999923338
1445,HMGA1,1.14858024580254e-18,0.000109122652974969,0.991665306744837,0.999999999923338
1329,GPAT3,1.14587349151428e-18,0.000108865493573207,0.991675132986455,0.999999999923338
730,COG8,1.14463999189123e-18,0.000108748303022697,0.991679614769546,0.999999999923338
3340,TMEM170A,1.14303510410713e-18,0.000108595828162218,0.991685449566913,0.999999999923338
407,BORCS6,1.14179770061537e-18,0.000108478266718588,0.991689951120476,0.999999999923338
281,ARID1B,1.13826132314228e-18,0.000108142287675596,0.991702829583406,0.999999999923338
3373,TMX1,1.1352790028177e-18,0.000107858947693885,0.991713705890189,0.999999999923338
896,DHX16,1.12204835597553e-18,0.000106601949509153,0.991762130288727,0.999999999923338
2062,NDEL1,1.12114510646132e-18,0.000106516134883968,0.991765446583233,0.999999999923338
3663,ZCWPW1,1.11824093765679e-18,0.000106240219808991,0.991776118347277,0.999999999923338
318,ATL3,1.10461281076153e-18,0.000104945458413498,0.9918263828842,0.999999999923338
1985,MTIF3,1.09902384559459e-18,0.000104414470083662,0.991847086246275,0.999999999923338
1879,METTL17,1.09380870143877e-18,0.000103918997200501,0.991866452388686,0.999999999923338
3512,UBAP2L,1.08506892424681e-18,0.00010308866107285,0.991899010873791,0.999999999923338
3758,ZNF75D,1.08369462921116e-18,0.000102958094035145,0.991904142480632,0.999999999923338
1576,IREB2,1.0785416960774e-18,0.000102468531606909,0.991923412527995,0.999999999923338
2547,PTPMT1,1.07681569556906e-18,0.000102304550243661,0.991929877414795,0.999999999923338
3243,TBC1D8,1.07151017152273e-18,0.000101800490678408,0.991949782233641,0.999999999923338
3332,TMED9,1.06298759774234e-18,0.000100990790298752,0.991981859962713,0.999999999923338
2044,NBPF12,1.06096152284088e-18,0.000100798299900993,0.99198950471527,0.999999999923338
3616,WSB1,1.05667943991576e-18,0.000100391473951517,0.992005685856081,0.999999999923338
1251,GAPDH,1.04920257800251e-18,9.96811230545007e-05,0.992034018242337,0.999999999923338
2590,RAD54L2,1.04916779949478e-18,9.96778188682725e-05,0.992034150265483,0.999999999923338
1393,HASPIN,1.0382540524404e-18,9.86409413520313e-05,0.99207568874289,0.999999999923338
1254,GARS1,1.0316099652253e-18,9.80097095106701e-05,0.992101083582595,0.999999999923338
27,AC004980.1,1.02702464848433e-18,9.75740743608106e-05,0.992118657176644,0.999999999923338
3121,SRPK2,1.02408908762727e-18,9.72951768350504e-05,0.992129928554795,0.999999999923338
481,CACYBP,1.01738597390843e-18,9.66583370888802e-05,0.992155726548068,0.999999999923338
2634,RECQL,1.01720528847134e-18,9.66411707878563e-05,0.992156423119127,0.999999999923338
3240,TBC1D22B,1.01588223651713e-18,9.65154721788174e-05,0.992161525580932,0.999999999923338
3186,STX6,1.01124510333775e-18,9.60749141276224e-05,0.99217943536203,0.999999999923338
482,CALCOCO1,1.00607359102595e-18,9.55835865556754e-05,0.992199457557845,0.999999999923338
1193,FLII,1.0043521530704e-18,9.54200386648526e-05,0.99220613374508,0.999999999923338
2300,PDCD6IP,1.0009872961868e-18,9.51003552022815e-05,0.992219200085423,0.999999999923338
1413,HERC4,9.94990455839035e-19,9.45306160564037e-05,0.992242541457965,0.999999999923338
2270,PARP10,9.90367659461153e-19,9.40914200953369e-05,0.992260582723636,0.999999999923338
3124,SRRD,9.90044580165281e-19,9.40607254442529e-05,0.99226184516946,0.999999999923338
3028,SMC6,9.83456393248975e-19,9.34348044977369e-05,0.992287633862808,0.999999999923338
887,DGKA,9.78872509289251e-19,9.29993054714891e-05,0.992305627941668,0.999999999923338
996,EGR2,9.76023398930572e-19,9.27286213098089e-05,0.992316833390412,0.999999999923338
805,CUL4B,9.75204391325004e-19,9.26508102182e-05,0.992320057543695,0.999999999923338
2777,RRN3,9.61731423579e-19,9.13707899590471e-05,0.992373291672675,0.999999999923338
2890,SERPINF1,9.54142511614515e-19,9.06497935726088e-05,0.992403441094616,0.999999999923338
1379,H2AC6,9.52723364438083e-19,9.05149652874975e-05,0.992409092410389,0.999999999923338
627,CENPBD1P1,9.51047621275995e-19,9.03557587016103e-05,0.992415770963109,0.999999999923338
2026,N4BP1,9.44712114652947e-19,8.97538440394228e-05,0.992441073997352,0.999999999923338
1073,ERO1B,9.42848840346948e-19,8.95768207654863e-05,0.992448531763055,0.999999999923338
1942,MRPL44,9.39240379991537e-19,8.92339933761276e-05,0.992462995631742,0.999999999923338
2530,PSMD14,9.36868864692938e-19,8.90086838760735e-05,0.992472516563525,0.999999999923338
601,CDC14B,9.25282922913158e-19,8.79079434542846e-05,0.992519204915697,0.999999999923338
3300,THUMPD1,9.25192732185132e-19,8.78993747438684e-05,0.992519569504198,0.999999999923338
2006,MUS81,9.21582316695515e-19,8.75563616039431e-05,0.992534178931529,0.999999999923338
1781,LSM14A,9.1950057221993e-19,8.73585822316946e-05,0.992542615652357,0.999999999923338
3265,TCOF1,9.18541661957916e-19,8.72674794705787e-05,0.992546505057002,0.999999999923338
1630,KCTD20,9.12177887935318e-19,8.66628792201243e-05,0.992572368566892,0.999999999923338
3094,SPINK9,9.04530371528624e-19,8.59363150274893e-05,0.992603569091379,0.999999999923338
1542,IKZF2,9.03620898769274e-19,8.58499091532186e-05,0.992607288342716,0.999999999923338
2950,SLC15A4,9.02130873174369e-19,8.57083469537023e-05,0.992613385788736,0.999999999923338
3402,TOP2B,9.01452179293472e-19,8.56438665857768e-05,0.992616164792368,0.999999999923338
1082,ESYT1,8.98905278877187e-19,8.54018943497892e-05,0.992626602760851,0.999999999923338
1209,FOXJ3,8.96775025937549e-19,8.5199506355454e-05,0.992635344544774,0.999999999923338
510,CASP7,8.93652095456246e-19,8.49028074870713e-05,0.992648178707442,0.999999999923338
2479,PRDM2,8.90770584377355e-19,8.46290450445651e-05,0.992660040628015,0.999999999923338
3632,YEATS2,8.88882881637705e-19,8.4449700909289e-05,0.992667821879249,0.999999999923338
3517,UBE2D3,8.87195424223911e-19,8.42893813926958e-05,0.992674784702089,0.999999999923338
1642,KIAA1257,8.78919199859819e-19,8.35030858225551e-05,0.992709030527398,0.999999999923338
3657,ZC3H4,8.76415273526307e-19,8.32651964061514e-05,0.992719423157277,0.999999999923338
2965,SLC25A45,8.75992378524054e-19,8.32250186086102e-05,0.992721179861961,0.999999999923338
2576,RAB3B,8.74395093827047e-19,8.30732660912473e-05,0.992727818806988,0.999999999923338
1690,LANCL3,8.72325287094266e-19,8.28766208828242e-05,0.992736430767112,0.999999999923338
2706,RNF34,8.68256804586554e-19,8.24900883732793e-05,0.992753388562474,0.999999999923338
252,APOOL,8.65362506984738e-19,8.2215111127272e-05,0.992765476450703,0.999999999923338
2444,PPARA,8.60670162655254e-19,8.17693076548749e-05,0.992785116827482,0.999999999923338
3280,TGFB1,8.60243123779768e-19,8.17287361622111e-05,0.992786906905754,0.999999999923338
1779,LRTOMT,8.54636307823286e-19,8.11960518903461e-05,0.992810451122447,0.999999999923338
3019,SMAGP,8.52875073179603e-19,8.10287230532601e-05,0.992817862854505,0.999999999923338
1923,MON1B,8.4221374238434e-19,8.00158267363729e-05,0.99286289282913,0.999999999923338
1283,GGCTP1,8.42137764192069e-19,8.00086083100251e-05,0.992863214755882,0.999999999923338
902,DIAPH2,8.30556039639881e-19,7.89082685525039e-05,0.992912458629352,0.999999999923338
203,ANKMY2,8.25846852927227e-19,7.84608649432939e-05,0.992932579562717,0.999999999923338
2185,NUMA1,8.23613058329219e-19,7.82486398126366e-05,0.992942143952993,0.999999999923338
2329,PEX14,8.15062775694276e-19,7.74363069101507e-05,0.992978873905889,0.999999999923338
405,BOD1L1,8.13214631085769e-19,7.72607210566601e-05,0.992986838375792,0.999999999923338
3025,SMARCC2,8.12161184794343e-19,7.71606367530103e-05,0.992991382190456,0.999999999923338
129,AFTPH,8.11600581047242e-19,7.71073757219461e-05,0.992993801435991,0.999999999923338
1165,FBXO5,8.08747752359204e-19,7.6836338294601e-05,0.993006125581124,0.999999999923338
